C,SF,FA,SIP,SFl,SS,S,QP,QS,GP,W,SP,SL,Age,L,D,HFV,SFV,TFV,TS
646,0,0,0,0,0,1076,0,0,0,172,10,430,28,13,0.2,1.5,0,0,9.44
646,0,0,0,0,0,1076,0,0,0,172,10,430,28,13,0.2,2,0,0,11.92
646,0,0,0,0,0,1076,0,0,0,172,10,430,28,13,0.2,2.5,0,0,12.24
708.56,221.42,177.14,0,0,0,0,0,974.27,0,265.71,9.7,0,28,0,0,0,0,0,1.36
708.56,221.42,177.14,0,0,0,0,0,974.27,0,265.71,9.7,0,28,13,0.2,0,1.6,0,2.38
708.56,221.42,177.14,0,0,0,0,0,974.27,0,265.71,9.7,0,28,13,0.2,0,1.8,0,2.09
708.56,221.42,177.14,0,0,0,0,0,974.27,0,265.71,9.7,0,28,13,0.2,0,2,0,2.63
708.56,221.42,177.14,0,0,0,0,0,974.27,0,265.71,9.7,0,28,13,0.2,0,2.2,0,2.72
788.5,197.1,0,0,236.6,867.4,0,0,0,0,160.3,52.6,0,28,13,0.2,0,2,0,2.36
788.5,197.1,0,0,236.6,867.4,0,0,0,0,160.3,52.6,0,28,30,0.3,0,1.5,0,1.69
1079,0,0,0,0,0,1069,0,0,0,168,6.5,0,28,0,0,0,0,0,1.00
1025,54,0,0,0,0,1069,0,0,0,177,4.3,0,28,0,0,0,0,0,2.10
971,108,0,0,0,0,1069,0,0,0,177,4.3,0,28,0,0,0,0,0,2.50
917,162,0,0,0,0,1069,0,0,0,175,4.9,0,28,0,0,0,0,0,1.94
863,216,0,0,0,0,1069,0,0,0,172,5.4,0,28,0,0,0,0,0,1.91
809,270,0,0,0,0,1069,0,0,0,168,6.5,0,28,0,0,0,0,0,1.41
1079,0,0,0,0,0,913,0,0,0,125,17.3,0,28,13,0.2,0,2,0,2.27
1025,54,0,0,0,0,913,0,0,0,159,8.6,0,28,13,0.2,0,2,0,2.62
971,108,0,0,0,0,913,0,0,0,159,8.6,0,28,13,0.2,0,2,0,3.94
917,162,0,0,0,0,913,0,0,0,159,8.6,0,28,13,0.2,0,2,0,3.83
863,216,0,0,0,0,913,0,0,0,151,10.8,0,28,13,0.2,0,2,0,3.01
809,270,0,0,0,0,913,0,0,0,142,12.9,0,28,13,0.2,0,2,0,2.88
788.5,197.1,0,0,236.6,867.4,0,0,0,0,160.3,52.6,0,28,13,0.2,0,2,0,3.35
788.5,197.1,0,0,236.6,867.4,0,0,0,0,160.3,52.6,0,28,30,0.3,0,0,2,2.85
788.5,197.1,0,0,236.6,867.4,0,0,0,0,160.3,52.6,0,28,30,0.37,2,0,0,1.81
814,203.5,0,0,0,0,0,244.2,895.4,0,183.15,15.46,0,28,13,0.2,0,3,0,14.15
814,203.5,0,0,0,0,0,244.2,895.4,0,183.15,15.46,0,28,13,0.2,0,3,0,14.96
814,203.5,0,0,0,0,0,244.2,895.4,0,183.15,15.46,0,28,13,0.2,0,3,0,15.30
958.15,106.46,0,0,0,0,1064.61,0,0,0,212.92,13.84,0,3,13,0.2,0,1,0,0.98
958.15,106.46,0,0,0,0,1064.61,0,0,0,212.92,15.95,0,3,13,0.2,0,2,0,1.38
958.15,106.46,0,0,0,0,1064.61,0,0,0,212.92,19.11,0,3,13,0.2,0,3,0,1.61
877,210,0,0,0,0,0,0,1087,0,197,26,0,28,0,0,0,0,0,13.98
877,210,0,0,0,0,0,0,1087,0,197,26,0,28,0,0,0,0,0,15.35
877,210,0,0,0,0,0,0,1087,0,197,26,0,28,0,0,0,0,0,15.60
868,208,0,0,0,0,0,0,1076,0,195,26,0,28,7,0.18,0,1,0,19.72
868,208,0,0,0,0,0,0,1076,0,195,26,0,28,7,0.18,0,1,0,16.41
868,208,0,0,0,0,0,0,1076,0,195,26,0,28,7,0.18,0,1,0,14.26
859,206,0,0,0,0,0,0,1065,0,193,26,0,28,7,0.18,0,2,0,14.85
859,206,0,0,0,0,0,0,1065,0,193,26,0,28,7,0.18,0,2,0,18.47
859,206,0,0,0,0,0,0,1065,0,193,26,0,28,7,0.18,0,2,0,19.47
850,204,0,0,0,0,0,0,1054,0,191,25,0,28,7,0.18,0,3,0,16.50
850,204,0,0,0,0,0,0,1054,0,191,25,0,28,7,0.18,0,3,0,20.28
850,204,0,0,0,0,0,0,1054,0,191,25,0,28,7,0.18,0,3,0,22.81
842,202,0,0,0,0,0,0,1044,0,189,25,0,28,7,0.18,0,4,0,23.28
842,202,0,0,0,0,0,0,1044,0,189,25,0,28,7,0.18,0,4,0,23.93
833,200,0,0,0,0,0,0,1033,0,187,25,0,28,7,0.18,0,5,0,23.81
833,200,0,0,0,0,0,0,1033,0,187,25,0,28,7,0.18,0,5,0,29.39
859,206,0,0,0,0,0,0,1065,0,193,25,0,28,13,0.22,0,2,0,17.88
859,206,0,0,0,0,0,0,1065,0,193,25,0,28,13,0.22,0,2,0,22.56
859,206,0,0,0,0,0,0,1065,0,193,25,0,28,13,0.22,0,2,0,23.68
859,206,0,0,0,0,0,0,1065,0,193,25,0,28,35,0.58,0,2,0,17.66
859,206,0,0,0,0,0,0,1065,0,193,25,0,28,35,0.58,0,2,0,21.68
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,2.65
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,3.50
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,3.95
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,2.30
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,3.25
807.67,201.9,0,242.3,0,888.44,0,0,0,0,161.5,54.11,0,14,20,0.2,0,0,1.5,3.30
